cement_opc,scm_flyash,silica_sand,locally_avail_sand,w_b,hrwr_b,perc_of_fibre,aspect_ratio,tensile_strength,density,youngs_modulus,elongation,compressive_strength
1.0,1.6100423573408553,0.2200152585946202,0.21109462427530087,0.693100577407997,0.13944291332039568,2.127157660365895,0.41180413960321316,112.0,637.0,46.13211808407922,34.84,45.09689333588926
1.0,1.3099675294139075,0.230136015675703,0.3811690113796287,0.32508437160315173,0.3048167529415579,2.0949458634688463,0.28330387369738497,112.0,637.0,64.06001078262206,34.84,62.405348836117476
1.0,2.483076573913923,0.06154250025671532,0.2613920287667918,0.8188538119020976,0.2391187010243188,2.5424513296594404,0.3180015043452926,112.0,637.0,48.77687035471702,34.84,49.64278918914168
1.0,0.8010677985840293,0.43693739348481275,0.6882558365231607,0.43154742941782887,0.3055766353957543,1.4979674268204268,0.2989633520983442,112.0,637.0,53.601957712713485,34.84,53.68875996519898
1.0,1.7052992446483766,0.33604911873430543,0.36844678778440154,0.2218692220351039,0.11160832904427304,3.9388827544985014,0.18606617214673168,112.0,637.0,65.0794096106064,34.84,64.97584304193316
1.0,1.740854837744005,0.19136627425438146,0.22660490972432,0.5581348966583162,0.20111830989343862,1.3069211369989462,0.15921477243206575,112.0,637.0,46.66095800649443,34.84,47.53216391478204
1.0,0.844449900191902,0.12809792702799339,0.17929808311244003,0.2945152134223473,0.15993906412223222,1.871457532692293,0.21694514514476282,112.0,637.0,52.16893784040079,34.84,51.205992853517756
1.0,1.6963040644686176,0.23914218293058004,0.08926645893103269,0.36415464288153987,0.33440151514206307,1.1514505992349306,0.3751948859508309,112.0,637.0,43.94960369298952,34.84,44.920139187707086
1.0,1.7650150114246788,0.24458724730792675,0.3133574406978703,0.7746128052565011,0.19343543794605553,3.0993861664647646,0.25683516612325785,112.0,637.0,57.78667301400479,34.84,56.77701977219789
1.0,0.21696510865728938,0.7191745574874016,0.35577671869780875,0.23071010248746837,0.33063590680563537,1.3062207019724996,0.33693406543637333,112.0,637.0,51.37977891993046,34.84,51.926917123368476
1.0,0.7553183348246156,0.16308063113473062,0.32190909018199454,0.35114302359253846,0.20019901437233564,2.898043258123262,0.380541144100464,112.0,637.0,52.55625725069183,34.84,52.0985248418731
1.0,2.9670815686748115,0.11338446904051666,0.0990410930570925,0.2557589068564615,0.5892764628754474,2.2951404640529214,0.2091406645976936,112.0,637.0,44.71597128511816,34.84,44.73585018118557
1.0,0.9660630715591781,1.1361525318172128,0.1502347187935454,0.24245952019524217,0.26817721970434016,2.2003955629059897,0.3959179015761054,112.0,637.0,48.655510808026136,34.84,47.42907997752581
1.0,0.6550465555949455,0.23670570945140545,0.2910828424026142,0.34702805881768656,0.41313383846216784,3.4396656293547268,0.2150654666970062,112.0,637.0,59.34863141655447,34.84,59.205942718656615
1.0,0.39717503715053143,0.2943835336217313,0.4781302488445515,0.28635043569561447,0.24694519193273484,1.5183568253614652,0.26829445779898453,112.0,637.0,49.72341059300781,34.84,48.51993126821784
1.0,0.7129196392765071,0.8425426121006756,0.23736129596296732,0.38338807253812884,0.41458496363566866,4.063567827337839,0.21921661471694517,112.0,637.0,59.06007184664373,34.84,58.9316854781666
1.0,1.2793052185375977,0.46246527004003773,0.36719788335322445,0.605116657938564,0.17756713798516482,1.6861248467754724,0.29727361025157656,112.0,637.0,56.19838529755322,34.84,56.06508042726813
1.0,0.6255914629616282,0.31131231807191323,0.1635718401230575,0.3020434801978778,0.2559189642704736,2.484489547489269,0.27107149933365465,112.0,637.0,57.51485787534955,34.84,57.40019558806689
1.0,1.9262632326183617,0.9701600082096263,0.2623031829583953,0.21101091587332296,0.20712605888244312,1.8459795780321244,0.3383836271225886,112.0,637.0,46.66255812523735,34.84,45.75131152072133
1.0,0.8353263702492102,0.18300356874510396,0.218380920735726,0.6059147078074376,0.6652486505238726,2.7134889820381556,0.354622428326551,112.0,637.0,51.334507552881945,34.84,51.96803736760568
1.0,1.6166346921742807,0.4302853008866395,0.38086461749965866,0.3010305879062912,0.14424947291042817,1.2565784619816844,0.4055846048633975,112.0,637.0,52.92750729230231,34.84,53.61255312688413
1.0,2.748834618677081,0.1768391550961636,0.1974281066850616,1.09650785622018,0.7358122333665875,2.1293382778350662,0.33485914216224344,112.0,637.0,42.46306833353004,34.84,42.30461198772704
1.0,2.6608383758511445,0.33603043192177556,0.4587972073714818,0.3583474916180235,0.13145986707709958,2.0412572151225064,0.339779105150785,112.0,637.0,42.5128341086357,34.84,43.91607675514878
1.0,1.6018302023786695,0.15493869329731058,0.21565256004756847,0.4107618636689557,0.377604801905026,2.4896392644969283,0.2537000919715675,112.0,637.0,54.91592560418003,34.84,54.86332945992819
1.0,0.6840540242969468,0.7914385232708909,0.16138061505241028,0.13892789849114806,0.1915072661330801,2.453704332223783,0.27006297688996705,112.0,637.0,61.70214440346321,34.84,62.15441470024308
1.0,1.3283936101054272,0.1664450588371437,0.16345363670530652,0.2459515054211289,0.2968660683948383,1.344392572637221,0.30260946210335976,112.0,637.0,57.40509679849001,34.84,58.59738649867823
1.0,1.6299618361185249,0.016214144690657687,0.19132222159378054,0.14067200246803593,0.23994806555816883,3.7646585609457324,0.21120121685054438,112.0,637.0,66.78877659911414,34.84,66.47497057231905
1.0,4.0,0.07537519192076594,0.279127657994688,0.5093039005382429,0.17253757248893514,1.9690745526723392,0.36490738068082185,112.0,637.0,38.39315007994919,34.84,37.486513435236596
1.0,0.39442143786237277,0.39309146692558794,0.1922302009847119,0.42204116478936654,0.2721563648517367,2.8635424763358297,0.27283673818364373,112.0,637.0,57.71393196524624,34.84,57.33129313296622
1.0,1.331001685751913,0.059704248310129146,0.1774387861182031,0.6024850412051624,0.21215051527019593,1.111492801008297,0.29435012083184925,112.0,637.0,45.97214240808533,34.84,44.274467106757186
1.0,1.8903154487714773,1.4,0.340078131097234,0.6583299305977893,0.34776885061742335,1.6617115812562249,0.19807430168499077,112.0,637.0,43.619090148113656,34.84,44.0368138283791
1.0,1.4486831506713136,0.4566169499225894,0.07146784610294611,0.7110460528937675,0.15808091537403432,3.378699864942076,0.2587064342554452,112.0,637.0,61.24170110026219,34.84,61.93821492626473
1.0,1.5358344749005106,0.3051381453869611,0.205860449768432,0.39287093111129046,0.3309891087129242,4.402039206328604,0.3435611347901258,112.0,637.0,54.738467130712486,34.84,54.27503317860462
1.0,0.8657126583889571,0.0412314029246855,0.14594122364093848,0.4588427791298195,0.4025851118315817,2.4757914614105143,0.3100872810069224,112.0,637.0,48.99321927285697,34.84,49.35505630548005
1.0,2.201644393941011,0.020293796689589635,0.17422339811898183,0.5872626959632902,0.2475783694802079,1.940695865497752,0.34093862626159366,112.0,637.0,42.5737034227132,34.84,43.55553780405906
1.0,1.3937602404802127,0.22003322328524913,0.2659826472999934,0.2954906579642789,0.13488741529762072,1.2215167516904537,0.26028889220084656,112.0,637.0,55.55678817064246,34.84,54.892657336170146
1.0,1.5328300135673907,1.2724448346196724,0.22422485293980113,0.2750615824034791,0.6214174005936199,2.955889689194021,0.28993249168550567,112.0,637.0,57.61697702418908,34.84,56.882663547949846
1.0,2.323188457271296,0.060615074583000084,0.2166512300473584,0.9495943105284049,0.33008262768052626,2.340994868053372,0.27473864301948075,112.0,637.0,47.549436433068344,34.84,48.29636746636281
1.0,1.1451528141687297,0.03420944428177311,0.38114278585164046,0.17820224760439204,0.18223792403232053,0.6613839854237029,0.32816746426501914,112.0,637.0,61.60594299896403,34.84,61.837635169680766
1.0,2.586178027504582,0.7130986281393719,0.24117786812672953,0.5645355031071448,0.33454657437343993,0.8881996454804397,0.29891308556832163,112.0,637.0,52.57409692060403,34.84,52.62444333156732
1.0,0.611892686106254,0.6937042788977285,0.48187920641746085,0.52144671366031,0.11307101666688248,2.3901667911134705,0.25756348220045566,112.0,637.0,58.80703358765946,34.84,58.43672043220816
1.0,1.5801255372527638,0.36611609295519154,0.317861136672125,0.2507210445198946,0.4706112922304464,1.362647074107292,0.15565513359922573,112.0,637.0,63.46129086266691,34.84,62.58690555589581
1.0,0.8337228745547163,0.14200264332418944,0.16783855976622233,0.3148447633956014,0.7560382895664663,1.23476043343864,0.2927350701096076,112.0,637.0,56.24109480014997,34.84,56.51289970824547
1.0,0.7056973369122466,0.47403854627136216,0.5059282268046873,0.3678152290009333,0.39460817963207356,1.9260298396960787,0.19088804713697158,112.0,637.0,57.06758585149612,34.84,57.42268746001231
1.0,3.348158289631273,0.03383246891158642,0.2694813031535997,0.48996667316753634,0.1582723173756026,2.3821580435705356,0.33004227316347834,112.0,637.0,41.643173576307994,34.84,41.86430676570398
1.0,0.6328098794784234,0.30984626355306766,0.4940717145762751,0.5241809067226727,0.09667077970909334,3.9935810209047253,0.3411275467060169,112.0,637.0,54.45666161950518,34.84,54.32900804428943
1.0,1.4086871991495902,0.012233524395479384,0.21909351227090149,0.4329128596708516,0.5169047858225783,1.3722475839794182,0.16590271401065934,112.0,637.0,48.4536222801917,34.84,48.98590171542722
1.0,0.6016683888430945,0.2882418691866161,0.2688799084116317,0.4830873798889701,0.2427694990236584,2.4893339840699307,0.30160063019397,112.0,637.0,51.34578499753636,34.84,51.834735961835946
1.0,2.504068298948947,0.7351946071928898,0.28573937150805545,0.6113846887166982,0.2148916141343619,1.2423897200802732,0.29988798394644,112.0,637.0,51.27782395357913,34.84,51.52059365238513
1.0,1.0806417025639936,1.3044360758768865,0.22741315839402682,0.5974274458476087,0.46794030101506046,1.5993509466160885,0.306990089379797,112.0,637.0,44.10141541953343,34.84,44.14865700587843
1.0,2.316856219737231,0.15113371979261403,0.3932797512828182,0.9468630188014896,0.19454430101897074,2.213719673048342,0.21161802952986253,112.0,637.0,51.958074128594276,34.84,50.54763461258594
1.0,1.8566387526165904,0.38954926335021894,0.5056377295437148,0.740680308654311,0.3826070234172095,1.8865346960197287,0.31422892260599056,112.0,637.0,48.58236414469911,34.84,47.20311589738526
1.0,3.897639525925522,0.12242150366808001,0.10132699294025815,0.4435883061719571,0.2644652721262591,1.0572486822251728,0.21030735099189068,112.0,637.0,40.181571637238314,34.84,39.42190690716159
1.0,0.5245900659458038,0.48348110089129126,0.3305147194813659,0.6056742290876151,0.295694719624283,2.5829057292819018,0.3301217211370337,112.0,637.0,55.70805609025731,34.84,56.42959808906265
1.0,0.7514324072262161,0.6611966043045654,0.17251218686881517,0.5434364674511702,0.5902120403727164,2.8781960172807,0.31111816874879633,112.0,637.0,60.50037036673618,34.84,59.685111870805315
1.0,2.252221377862218,0.47653700303365243,0.09042089373084473,0.4773283038375738,0.20466818505953463,5.0,0.260733946351131,112.0,637.0,55.41676936046183,34.84,56.796537276658015
1.0,1.6210752115706568,0.12956127704347165,0.2951180645103789,0.28477574645508114,0.1955259864703785,2.248732647778285,0.3104675482319207,112.0,637.0,59.55589744217694,34.84,58.16811012459428
1.0,1.19240953083551,0.07374595314177117,0.29537133637004237,0.47681528335404866,0.2362122610234006,2.1978325378707075,0.22605545844134833,112.0,637.0,52.09337332430051,34.84,52.36016353032053
1.0,3.527532265127178,0.09243943580745542,0.31400786678777,0.15655022550738495,0.14322335157839097,2.337367765829072,0.2473018286602349,112.0,637.0,52.49536852215524,34.84,52.1780355536911
1.0,1.355416921970701,0.2876783722038231,0.27917656032679394,0.751569603347588,0.4174066165698635,1.058256039661704,0.3683607568098744,112.0,637.0,43.94399581063267,34.84,44.58932128650338
1.0,0.8530149821642724,0.028435650095747184,0.3381712321643752,0.5238341310001586,0.39057436343456087,1.0932800453452514,0.3650205584346139,112.0,637.0,45.409192061007374,34.84,44.62182187403315
1.0,2.3313803837740994,0.14721781755407504,0.19273767395442568,0.40602255619439676,0.260127044577902,1.9457533125230249,0.21831768648454444,112.0,637.0,50.1096697703516,34.84,50.46914724746336
1.0,1.3804164132675887,0.4656646794978338,0.2679714676181017,0.35625333519094754,0.16464539655995095,0.6792994945314675,0.24386543208605366,112.0,637.0,52.18625799300154,34.84,52.78456212188105
1.0,1.4395839377293655,0.35481042172902416,0.3161698780813854,0.6098740785416517,0.06623805589681671,1.1824168918023705,0.24748235615492853,112.0,637.0,50.164378003833896,34.84,49.36179597368315
1.0,1.9393939770944821,0.05473388981027438,0.4055910173214893,1.101863671587539,0.17226060340938873,1.5975120987429237,0.2854811414971519,112.0,637.0,46.18836629281014,34.84,46.39946484731226
1.0,1.9791971869556018,0.672420005598397,0.24650750239421126,0.530352129004537,0.23282482304356428,3.2684669929802728,0.27281759689437207,112.0,637.0,61.54532241272195,34.84,61.56629544815375
1.0,0.7452014170323338,0.21872836624462322,0.22349571372742053,1.1381110117828108,0.10111702294882176,2.2890994792328945,0.37941280156978247,112.0,637.0,43.340378339236715,34.84,43.423316724430435
1.0,1.1540510844364453,0.8389152650296086,0.2373897295585168,0.650784357813659,0.7840407216494845,0.9836840591424886,0.4012664899405081,112.0,637.0,46.357564755947564,34.84,45.63481605772364
1.0,0.5679114892174635,0.12431351794622907,0.15396138304087664,0.2939177552470225,0.32169611290681294,1.985297139253835,0.42706126214357276,112.0,637.0,47.22850337721345,34.84,46.95208408811966
1.0,1.6339846131291234,0.1334732938267815,0.3248814987458999,0.5610813245505332,0.34311262696369793,2.670254560241427,0.4637347926838723,112.0,637.0,52.44544691755336,34.84,51.3033124559404
1.0,3.3174777368795207,0.6529398641824475,0.13926629448691538,0.5343415689564078,0.24246295074315138,2.841415965317542,0.1952754884261842,112.0,637.0,49.25529241822225,34.84,50.18035459019479
1.0,0.7643219205093499,0.034827929101251015,0.28130167070147527,0.2938311176631363,0.3778952735890916,3.3259683705228458,0.2693771560843924,112.0,637.0,61.17331062524253,34.84,61.14561703244364
1.0,0.4999138586652537,0.47545161978091066,0.25035618004502286,0.3585750755989592,0.22484455436348397,3.5760299583356936,0.23968590990266608,112.0,637.0,64.37595407687677,34.84,63.972618918597234
1.0,0.936071420899504,0.011999580907540972,0.1343923656240328,0.35503844727296624,0.24101603614874062,2.653131007995792,0.22864027482726307,112.0,637.0,55.39616925357445,34.84,56.638830541872636
1.0,1.1866079149620479,0.10650615427084226,0.13733937609833363,0.46225374483126047,0.527601581197393,2.5507493940632764,0.3898175212276576,112.0,637.0,50.708647991556454,34.84,51.402519272670055
1.0,1.9883689956041428,0.1556427847443466,0.17521115953055885,0.38221445224306433,0.4525269784323073,2.260132804209821,0.31017770620990764,112.0,637.0,47.024492167920776,34.84,47.32336075727228
1.0,1.1176454110339678,0.45133703028138866,0.21270108068732357,0.5028714922105528,0.25992028951021323,3.019915006364768,0.19485235120918729,112.0,637.0,67.69221593287926,34.84,66.48464416538692
1.0,1.6497184350606457,0.0006374353390364057,0.42574982929001914,0.5453045022307997,0.7184425016481569,1.3916681520501963,0.5127129224988387,112.0,637.0,44.67183590049817,34.84,43.881014026379454
1.0,1.017396422557758,0.5192493578123669,0.23243109798332837,0.8286811398044647,0.25084532682285426,1.8363191801744991,0.18491630169252074,112.0,637.0,58.616965259150724,34.84,57.82353196921683
1.0,1.2233978360591427,0.14089556085763053,0.29844469576680355,0.578576703431028,0.20294916484594033,1.451422280128551,0.2592942916886695,112.0,637.0,49.802568778584764,34.84,50.82290041064093
1.0,0.8360829065851951,0.9193181467917825,0.39248552060858294,0.30952251092155203,0.2784747456670043,2.4866609432202527,0.28718695798461874,112.0,637.0,52.660594787127096,34.84,51.660816806870365
1.0,0.6828897691298171,0.11395986384914288,0.3646436762025424,1.2633885166363206,0.3037754253857711,1.789429399738182,0.21661212001175545,112.0,637.0,49.37999913097658,34.84,49.21654560668453
1.0,2.025822083962166,0.111966616074281,0.24178027812289327,0.3105259941480872,0.1439758450642942,3.2756620806048744,0.31959989489703533,112.0,637.0,68.30657471395946,34.84,68.58674043101516
1.0,1.0584374451231475,0.0255930352712803,0.18536939795928242,0.36220307775454735,0.3334823623660527,2.0745243359446968,0.2439492996473099,112.0,637.0,49.724166605828245,34.84,50.31733708241482
1.0,1.7140016561868132,0.29857274193045413,0.29308611685025215,0.592736021455408,0.7523397200692944,3.354557722717613,0.34042274293582653,112.0,637.0,55.76436916162386,34.84,55.07353103913849
1.0,0.8281957077024484,1.194490952404343,0.18678166630240625,1.3189793814432986,0.420263547112283,0.7420192433775168,0.3086174522464006,112.0,637.0,39.41674493326202,34.84,39.87022431926041
1.0,1.360263040156398,0.19325931775772923,0.4834852991558386,0.5374275486525155,0.36426557683395183,1.4373896640715664,0.15768091658738353,112.0,637.0,49.41789035108843,34.84,48.8002481833302
1.0,0.31916249669130486,0.30875932629712116,0.3372429217182314,0.31900612267300377,0.33230390346986854,3.1605620360006528,0.19661100519405889,112.0,637.0,68.80502007793886,34.84,68.11998572818338
1.0,1.1039954493757336,0.013939470296259424,0.2624597016551208,0.1937053175301812,0.1586855953561947,2.043299742350378,0.34245456043584016,112.0,637.0,60.65989527242717,34.84,59.334429137655725
1.0,0.8816636227998328,0.5100443485145613,0.2946305501089946,0.18737071550386966,0.15879587204437615,3.3423919564607845,0.3089848078405423,112.0,637.0,63.544049475596964,34.84,64.83785117398224
1.0,2.4518735533410547,0.17057006919252493,0.25944128670646555,0.4420753425363869,0.28355468744409984,2.2799260179119845,0.22196026299937477,112.0,637.0,50.3939823713637,34.84,51.251358841841984
1.0,0.6172551219597832,0.13948217246787128,0.21073709289429204,0.5773069592248162,0.2109771285127931,1.298378562857414,0.24105152961995713,112.0,637.0,46.28179436160389,34.84,45.77948686174726
1.0,1.2517464402038654,0.08136032632177644,0.29305884596544907,0.21617636164070825,0.1267887899185809,4.745505663186105,0.27574945268054657,112.0,637.0,65.33114934765736,34.84,65.54570597662054
1.0,1.6232107215685228,0.11054282347876332,0.22103580885513488,0.491266786039531,0.21932439608117266,1.476419528878651,0.17616076344986834,112.0,637.0,48.94973738443584,34.84,49.84284513151953
1.0,2.2756396111979837,0.47118894731292016,0.5064281430790651,0.22797026782525373,0.3274022797509396,1.4198624191745823,0.47591663458479727,112.0,637.0,45.9203278803941,34.84,46.95541705477001
1.0,2.114202860154457,0.6059687532303745,0.1862756749643736,0.27693942884745154,0.34932397288922845,2.98752456387235,0.22431453914173916,112.0,637.0,65.43458047138633,34.84,64.98652099101517
1.0,1.3072854146404347,0.008580820498662196,0.29419667222322926,0.6029747924415514,0.17233977043264573,1.3123068414035803,0.28342367397985374,112.0,637.0,44.58137765022146,34.84,44.78462685793934
1.0,1.409926427654524,0.04265110437281832,0.18000509786652852,0.3025322904555138,0.2554153039898639,1.0945479884758982,0.4141647686904012,112.0,637.0,50.795025165819084,34.84,50.194791997295575
1.0,2.4507368234859297,0.27733547174934825,0.17929185540097695,0.8464423528549133,0.3215755413097284,1.4050830649494663,0.26968027959712626,112.0,637.0,46.001298835516785,34.84,45.72363097818568
1.0,1.293491846399551,0.04442795439279454,0.12289506929801876,0.3282620428848934,0.1386173771584463,2.9881998120003264,0.30317385920665857,112.0,637.0,70.84878873811837,34.84,70.00529344864282
1.0,1.492440147841865,0.06451243903168444,0.2835049336382993,0.7656477131696527,0.17761731282527318,5.0,0.2255333851355754,112.0,637.0,56.84905728248095,34.84,56.21356979819971
1.0,2.492452646597556,0.08812544529924457,0.19798237751107964,1.3189793814432986,0.2596289695531081,2.028363759452078,0.24789242536580613,112.0,637.0,48.1639460406392,34.84,47.79437052633582
1.0,4.0,0.3857483467522737,0.3660642726613394,0.3028266540582471,0.1658763708834816,1.4344386627386372,0.22719773779708943,112.0,637.0,47.28242153927809,34.84,47.46692568075828
1.0,1.561888221718633,0.8482003850840555,0.2837012981216221,1.3189793814432986,0.22182304202333034,3.6386906527994958,0.3783510866152368,112.0,637.0,55.92343739781135,34.84,55.62378250544624
1.0,1.7923589200235612,0.2033906177899245,0.25649153301570715,0.4426344620062675,0.7840407216494845,1.5106020541876268,0.2411616129311076,112.0,637.0,50.61622387870886,34.84,50.97175342076764
1.0,2.0814530745041826,0.2887974702593844,0.14176862569728774,0.32044721959220546,0.12300638977108766,1.6385980146278338,0.23696905504276458,112.0,637.0,64.31417934768675,34.84,64.59085480921392
1.0,2.4801473421296327,0.4669502452089712,0.30283800527729626,0.3791684926982711,0.532816726775257,2.4666972832868836,0.23057914313989852,112.0,637.0,61.091907805869155,34.84,60.57844387152891
1.0,2.3051459514113146,0.09018986270782876,0.18845342822310102,0.3593434259082341,0.3100338113960356,3.4805426718725543,0.30744328896789136,112.0,637.0,54.559569182959386,34.84,54.571255449846795
1.0,0.9720425577191496,0.4243911445457658,0.14056904418840874,0.8861589903984137,0.14171803782762343,2.0926275113592006,0.3219261413585764,112.0,637.0,53.009555960737,34.84,53.640038107591934
1.0,1.618106963391844,1.306284323078929,0.2855654489716318,0.8497310844567828,0.36691991350005904,1.7097334703707314,0.177278100916458,112.0,637.0,46.80065585058004,34.84,45.5471520193821
1.0,2.3134410886082395,0.0671535815942889,0.1502186257147148,0.8447031870976636,0.2670133487240266,5.0,0.2858622372859459,112.0,637.0,50.12650363025502,34.84,50.50396762380161
1.0,2.7507636022193394,0.3967432933948023,0.1094319932971167,0.22958992386574234,0.47747762749421613,1.4713458337071794,0.3017367554809582,112.0,637.0,43.83491235669923,34.84,43.98047312986944
1.0,1.2529987088327663,0.2910690321095168,0.3970698231655087,0.4833072488380487,0.36361495644695313,1.5510125689964802,0.38948712791149254,112.0,637.0,46.594539469046516,34.84,47.131857707028566
1.0,1.5972371753670276,0.062025081074830166,0.19586513026180566,0.20258389091644405,0.2883025900216184,1.682646785213175,0.21203598718937963,112.0,637.0,61.82174340257099,34.84,61.63101922410945
1.0,1.6960210338010557,0.6378439966338901,0.12485526422524798,0.7289101683446627,0.22421985985911272,2.629577810792169,0.21712513481685988,112.0,637.0,62.86939663486211,34.84,63.79148906081102
1.0,1.3845085014522847,0.12257246404719653,0.1681016597054057,0.34521747416642234,0.4688615187813888,1.6208030951512564,0.3264290487923965,112.0,637.0,45.58301763886948,34.84,45.98364245699814
1.0,1.575222260913277,0.05070685135402375,0.18427786538065288,0.565403879784096,0.2148260778858483,2.984072763476023,0.2774630895484011,112.0,637.0,57.328357001677325,34.84,57.557536705554696
1.0,0.3062366193959453,0.13476067037917763,0.3746342024040917,0.34208935630187753,0.12976912666183477,1.9744522219104375,0.38711989736958485,112.0,637.0,43.01084192885013,34.84,43.418760051538996
1.0,4.0,0.43487949748400323,0.12878746124277804,0.18274189691621567,0.10128237008713098,1.738951191605389,0.3630568890374576,112.0,637.0,42.40561457036273,34.84,42.51881311328361
1.0,1.2241774111993422,0.1314703778677149,0.14568231432941156,0.6844241683073015,0.1408716071341602,1.549347712822785,0.3001946028468659,112.0,637.0,47.432253629555426,34.84,46.93573502383724
1.0,1.2772228919285395,0.0019632123955975298,0.3520014990067887,0.7113729287378172,0.3904622106563699,1.9996342015691628,0.27713048034868704,112.0,637.0,48.58444546232561,34.84,48.165713749675874
1.0,0.4642998347577078,1.2584065070715458,0.20431187543694887,0.4713900076759727,0.21794379018886983,2.5027498884996535,0.2713491550142881,112.0,637.0,47.25142287165541,34.84,47.73146639310127
1.0,0.412256428163844,0.6996992781348685,0.2643891887845623,0.15297905387350796,0.17765527923473037,1.9901531156704204,0.27946736522322346,112.0,637.0,59.77870706985782,34.84,61.1206149517131
1.0,1.7598030026143137,0.3271604611043356,0.20113554218060076,0.6398145620590561,0.21041121987091957,2.2600946437683307,0.2853987652463247,112.0,637.0,48.87482946168978,34.84,49.18318529079984
1.0,2.3183395636100386,0.15384217071452239,0.5228470372252445,0.3040545658811738,0.39566600323876167,1.4000822586336172,0.3909557295946226,112.0,637.0,49.35775865956067,34.84,50.24104164118969
1.0,2.0999020478925297,0.17079383882577112,0.14843497750156992,0.5692327427865015,0.35870798637928875,1.44001461040286,0.17567585379142173,112.0,637.0,46.98276122472564,34.84,47.89675968760972
1.0,0.8268321739145639,0.06927747128080779,0.2698926907021382,0.3440200127874286,0.2833975851908633,2.0190832328133133,0.2553916204550611,112.0,637.0,48.80411523939797,34.84,48.267933237744884
1.0,2.0358738740368127,0.2888555163896461,0.4294055121426343,0.362136296081907,0.19363035115458754,2.141989489909394,0.2950634474729907,112.0,637.0,49.297457378672476,34.84,49.13362403407198
1.0,1.2659967673848473,1.4,0.2102041982918253,0.5638622501230242,0.2149858716942361,2.070134287002561,0.24478594843981186,112.0,637.0,46.3099394667447,34.84,45.779362380997696
1.0,1.0971573310838831,0.22906178800756885,0.18199841049840318,0.29164834249995475,0.24461453536406488,1.528633550864948,0.2633924717050362,112.0,637.0,58.45517209127467,34.84,58.003209850111816
1.0,0.5783273992490723,0.5433571001971329,0.32457007953974,0.4045030064656433,0.16708920825133827,2.0949748649437483,0.25411164335978986,112.0,637.0,57.52259500375689,34.84,56.782709503217866
1.0,0.8891791605080449,0.10277690474393446,0.3551839398084875,0.5672503048765537,0.2472969725725463,2.0482484763312874,0.38042278918600386,112.0,637.0,43.20418535572465,34.84,43.552095864253914
1.0,1.7815365327007737,0.32269310755099645,0.1788328192444862,1.2988386475319473,0.1627896880860763,1.9104319882108969,0.2551746513916816,112.0,637.0,50.268199930688034,34.84,50.04091965607515
1.0,1.6089594469048107,0.1234776331779993,0.4227993186344673,0.42359024004720236,0.3137987670602398,1.4843324199112722,0.23819307251842858,112.0,637.0,50.52475430895345,34.84,49.94110933772402
1.0,1.484005804786373,0.2724633910195708,0.24720005039207027,0.6689744642481261,0.3319330351557746,2.5900295920600684,0.33709368493949543,112.0,637.0,51.08785544446353,34.84,50.90859184967101
1.0,0.29410789702414925,0.8891319798054995,0.2941926292187262,0.2447157072256759,0.45689523580363695,2.012305103848058,0.24866452733152905,112.0,637.0,46.564059921452824,34.84,47.38398291258314
1.0,1.4922668941717165,0.36907717158572834,0.4270151826509871,1.025891894439137,0.29770030324035757,1.4167536911042584,0.2706666144276154,112.0,637.0,49.10067532566352,34.84,48.83749742375107
1.0,0.9636002561472374,0.8591843089812783,0.3247772092809235,0.29353068603855276,0.29301676218447487,1.9069640251008766,0.2178537994223361,112.0,637.0,49.03940303331905,34.84,47.75761598593098
1.0,1.6151730968606215,0.8871214152791792,0.24240743588535782,0.4115396867092388,0.1720845645156384,1.534135419253057,0.25620015052321,112.0,637.0,47.03671595903723,34.84,46.66524676414234
1.0,2.518973177436248,0.18363138485921046,0.1877775292160531,0.5677089747522579,0.2552111018895999,2.0266973477148125,0.27915237428027645,112.0,637.0,45.25099395793325,34.84,46.11405862167391
1.0,1.047669253810239,1.0786697576167448,0.6792317413515327,0.29768745507499944,0.15673968659877718,3.989456020533836,0.21002783054289434,112.0,637.0,57.78823208524781,34.84,57.78409818844817
1.0,1.4334378838587465,0.3961524499326897,0.17957496147875332,0.7548019761033202,0.11146441285204935,2.1709821815013988,0.2749710025474429,112.0,637.0,54.08908115161918,34.84,53.64966988530918
1.0,3.5166364779228094,0.3671790221101861,0.2736152829570264,0.31579635458864863,0.22889661145232532,2.2269967247190894,0.31688513471039104,112.0,637.0,55.527260195916405,34.84,56.23273786894433
1.0,1.572217032127231,0.12034404147937884,0.29433008903265484,0.6660156665063431,0.20315443769259858,3.981995988434003,0.1775337123458426,112.0,637.0,58.44399875308834,34.84,56.96167358991344
1.0,1.3383784048986491,0.7275879727648158,0.29967581152507794,0.7498342775271181,0.3548028649349316,2.30188416506652,0.2420018916200808,112.0,637.0,60.44582094553153,34.84,60.26163960326417
1.0,0.8349961369136712,0.42673946270445307,0.5446585090615578,0.5871120436373348,0.16157858355109947,2.486878930752308,0.5080498390234143,112.0,637.0,54.71601113212922,34.84,54.64913140894893
1.0,2.0654375107335796,0.11101981839838983,0.24685701831140155,0.6265425668283005,0.7840407216494845,2.1673325166855113,0.2684070266780111,112.0,637.0,50.68507393751246,34.84,49.45181538994229
1.0,0.7504335286657099,0.47174984825888916,0.23382056637534585,1.3189793814432986,0.20559005872908048,1.6855154903116738,0.36621698927766566,112.0,637.0,51.565358553734384,34.84,51.413034461394716
